,Cap.,City,Conference,Division,Enrollment,FirstPlayed,FormerConferences,JoinedFBS,Nickname,Note,ProgramEstablished,School,Stadium,State
610,,Salisbury,NJAC,DIII,,,,,Seagulls,,,Salisbury,,Maryland
611,,Newport,CCC Football,DIII,,,,,Seahawks,,,Salve Regina,,Rhode Island
612,,Sewanee,SAA,DIII,,,,,Tigers,,,Sewanee,,Tennessee
613,,Winchester,ODAC,DIII,,,,,Hornets,,,Shenandoah,,Virginia
614,,Indianola,ARC,DIII,,,,,Storm,,,Simpson,,Iowa
615,,Buena Vista,ODAC,DIII,,,,,Knights,,,Southern Virginia,,Virginia
616,,Georgetown,ASC,DIII,,,,,Pirates,,,Southwestern,,Texas
617,,Springfield,NEWMAC,DIII,,,,,Pride,,,Springfield,,Massachusetts
618,,Owings Mills,MAC,DIII,,,,,Mustangs,,,Stevenson,,Maryland
619,,Alpine,ASC,DIII,,,,,Lobos,,,Sul Ross State,,Texas
620,,Bronx,ECFC,DIII,,,,,Privateers,,,SUNY-Maritime,,New York
621,,Morrisville,Empire 8,DIII,,,,,Mustangs,,,SUNY-Morrisville,,New York
622,,Selinsgrove,Centennial,DIII,,,,,River Hawks,,,Susquehanna,,Pennsylvania
623,,Seguin,ASC,DIII,,,,,Bulldogs,,,Texas Lutheran,,Texas
624,,Greenville,PAC,DIII,,,,,Tomcats,,,Thiel,,Pennsylvania
625,,Angola,MIAA,DIII,,,,,Thunder,,,Trine,,Indiana
626,,Hartford,NESCAC,DIII,,,,,Bantams,,,Trinity (CT),,Connecticut
627,,San Antonio,SAA,DIII,,,,,Tigers,,,Trinity (TX),,Texas
628,,Medford,NESCAC,DIII,,,,,Jumbos,,,Tufts,,Massachusetts
629,,Schenectady,Liberty,DIII,,,,,Dutchmen,,,Union,,New York
630,,Collegeville,Centennial,DIII,,,,,Bears,,,Ursinus,,Pennsylvania
631,,Utica,Empire 8,DIII,,,,,Pioneers,,,Utica,,New York
632,,Crawfordsville,NCAC,DIII,,,,,Little Giants,,,Wabash,,Indiana
633,,Waverly,ARC,DIII,,,,,Knights,,,Wartburg,,Iowa
634,,Washington,PAC,DIII,,,,,Presidents,,,Washington & Jefferson,,Pennsylvania
635,,Lexington,ODAC,DIII,,,,,Generals,,,Washington & Lee,,Virginia
636,,St. Louis,CCIW,DIII,,,,,Bears,,,Washington (MO),,Missouri
637,,Waynesburg,PAC,DIII,,,,,Yellow Jackets,,,Waynesburg,,Pennsylvania
638,,Dover,NJAC,DIII,,,,,Wolverines,,,Wesley,,Delaware
639,,Middletown,NESCAC,DIII,,,,,Cardinals,,,Wesleyan,,Connecticut
640,,Danbury,MASCAC,DIII,,,,,Colonials,,,Western Connecticut,,Connecticut
641,,Springfield,CCC Football,DIII,,,,,Golden Bears,,,Western New England,,Massachusetts
642,,Westfield,MASCAC,DIII,,,,,Owls,,,Westfield State,,Massachusetts
643,,Fulton,UMAC,DIII,,,,,Blue Jays,,,Westminster (MO),,Missouri
644,,New Wilmington,PAC,DIII,,,,,Titans,,,Westminster (PA),,Pennsylvania
645,,Wheaton,CCIW,DIII,,,,,Thunder,,,Wheaton (IL),,Illinois
646,,Whittier,SCIAC,DIII,,,,,Poets,,,Whittier,,California
647,,Spokane,NWC,DIII,,,,,Pirates,,,Whitworth,,Washington
648,,Chester,MAC,DIII,,,,,Pride,,,Widener,,Pennsylvania
649,,Wilkes-Barre,MAC,DIII,,,,,Colonels,,,Wilkes,,Pennsylvania
650,,Salem,NWC,DIII,,,,,Bearcats,,,Willamette,,Oregon
651,,Wayne,NJAC,DIII,,,,,Pioneers,,,William Paterson,,New Jersey
652,,Williamstown,NESCAC,DIII,,,,,Ephs,,,Williams,,Massachusetts
653,,Wilmington,OAC,DIII,,,,,Quakers,,,Wilmington,,Ohio
654,,Milwaukee,NACC,DIII,,,,,Warriors,,,Wisconsin Lutheran,,Wisconsin
655,,Eau Claire,WIAC,DIII,,,,,Blugolds,,,UW–Eau Claire,,Wisconsin
656,,La Crosse,WIAC,DIII,,,,,Eagles,,,UW–La Crosse,,Wisconsin
657,,Oshkosh,WIAC,DIII,,,,,Titans,,,UW–Oshkosh,,Wisconsin
658,,Platteville,WIAC,DIII,,,,,Pioneers,,,UW–Platteville,,Wisconsin
659,,River Falls,WIAC,DIII,,,,,Falcons,,,UW–River Falls,,Wisconsin
660,,Stevens Point,WIAC,DIII,,,,,Pointers,,,UW–Stevens Point,,Wisconsin
661,,Menomonie,WIAC,DIII,,,,,Blue Devils,,,UW–Stout,,Wisconsin
662,,Whitewater,WIAC,DIII,,,,,Warhawks,,,UW–Whitewater,,Wisconsin
663,,Springfield,NCAC,DIII,,,,,Tigers,,,Wittenberg,,Ohio
664,,Wooster,NCAC,DIII,,,,,Fighting Scots,,,Wooster,,Ohio
665,,Worcester,NEWMAC,DIII,,,,,Engineers,,,Worcester Poly,,Massachusetts
666,,Worcester,MASCAC,DIII,,,,,Lancers,,,Worcester State,,Massachusetts
